Symbol,Sector
SHLM,Basic Industries
ADES,Basic Industries
ASIX,Basic Industries
AEGN,Basic Industries
AMTX,Basic Industries
AEM,Basic Industries
APD,Basic Industries
AKS,Basic Industries
AGI,Basic Industries
AIN,Basic Industries
ALB,Basic Industries
AA,Basic Industries
AXU,Basic Industries
ALO,Basic Industries
ATI,Basic Industries
AAU,Basic Industries
ACH,Basic Industries
AMRK,Basic Industries
AMRC,Basic Industries
AVD,Basic Industries
AMWD,Basic Industries
USAS,Basic Industries
AMRS,Basic Industries
AU,Basic Industries
AQMS,Basic Industries
RKDA,Basic Industries
MT,Basic Industries
AGX,Basic Industries
AKG,Basic Industries
APWC,Basic Industries
AUG,Basic Industries
ASM,Basic Industries
AXTA,Basic Industries
BTG,Basic Industries
BCPC,Basic Industries
ABX,Basic Industries
BDC,Basic Industries
BHP,Basic Industries
BAK,Basic Industries
BBU,Basic Industries
BVN,Basic Industries
CBT,Basic Industries
CMCL,Basic Industries
CLXT,Basic Industries
CCJ,Basic Industries
CSL,Basic Industries
CRS,Basic Industries
CVCO,Basic Industries
CE,Basic Industries
LEU,Basic Industries
CENX,Basic Industries
CF,Basic Industries
CC,Basic Industries
CBI,Basic Industries
CADC,Basic Industries
CGA,Basic Industries
CHNR,Basic Industries
CHD,Basic Industries
CINR,Basic Industries
CLH,Basic Industries
CLW,Basic Industries
CLF,Basic Industries
CDXS,Basic Industries
CDE,Basic Industries
CMC,Basic Industries
CMP,Basic Industries
LODE,Basic Industries
CSTM,Basic Industries
GLW,Basic Industries
CVA,Basic Industries
CRWS,Basic Industries
CSWI,Basic Industries
CTIB,Basic Industries
CULP,Basic Industries
UAN,Basic Industries
DELT,Basic Industries
DNN,Basic Industries
UFS,Basic Industries
DWDP,Basic Industries
DRD,Basic Industries
DY,Basic Industries
DD^A,Basic Industries
DD^B,Basic Industries
EMN,Basic Industries
ECL,Basic Industries
EGO,Basic Industries
EMES,Basic Industries
EMX,Basic Industries
EXK,Basic Industries
UUUU,Basic Industries
NPO,Basic Industries
EGI,Basic Industries
EVA,Basic Industries
EVGN,Basic Industries
FMSA,Basic Industries
FOE,Basic Industries
FBR,Basic Industries
AG,Basic Industries
FSI,Basic Industries
FTK,Basic Industries
FLR,Basic Industries
FMC,Basic Industries
FSM,Basic Industries
FBHS,Basic Industries
FNV,Basic Industries
FCX,Basic Industries
FF,Basic Industries
GFA,Basic Industries
GCP,Basic Industries
BGC,Basic Industries
GMO,Basic Industries
GEVO,Basic Industries
GLT,Basic Industries
GFI,Basic Industries
GORO,Basic Industries
GSV,Basic Industries
GG,Basic Industries
AUMN,Basic Industries
GSS,Basic Industries
GV,Basic Industries
GRAM,Basic Industries
GVA,Basic Industries
GLDD,Basic Industries
GPL,Basic Industries
GPP,Basic Industries
GPRE,Basic Industries
SIM,Basic Industries
GURE,Basic Industries
FUL,Basic Industries
HMY,Basic Industries
HL,Basic Industries
HL^B,Basic Industries
HCCI,Basic Industries
HXL,Basic Industries
HCLP,Basic Industries
HBM,Basic Industries
HUN,Basic Industries
HYGS,Basic Industries
IAG,Basic Industries
NGVT,Basic Industries
IOSP,Basic Industries
IBP,Basic Industries
IFF,Basic Industries
IP,Basic Industries
THM,Basic Industries
IPI,Basic Industries
ICL,Basic Industries
JEC,Basic Industries
JELD,Basic Industries
KS,Basic Industries
KBR,Basic Industries
KGC,Basic Industries
KL,Basic Industries
KLDX,Basic Industries
KMG,Basic Industries
KOP,Basic Industries
KRA,Basic Industries
KRO,Basic Industries
FSTR,Basic Industries
LAYN,Basic Industries
LEN,Basic Industries
LEN.B,Basic Industries
LMB,Basic Industries
LAC,Basic Industries
LPX,Basic Industries
LXU,Basic Industries
LXFR,Basic Industries
LYB,Basic Industries
MAG,Basic Industries
MBII,Basic Industries
MLM,Basic Industries
MAS,Basic Industries
DOOR,Basic Industries
MTZ,Basic Industries
MTRX,Basic Industries
MUX,Basic Industries
MDU,Basic Industries
MTL,Basic Industries
MERC,Basic Industries
MRDN,Basic Industries
MRDNW,Basic Industries
MSB,Basic Industries
MEOH,Basic Industries
MTX,Basic Industries
MON,Basic Industries
MOS,Basic Industries
MPVD,Basic Industries
MYRG,Basic Industries
NP,Basic Industries
NSU,Basic Industries
NGD,Basic Industries
NEWA,Basic Industries
NEU,Basic Industries
NEM,Basic Industries
NEXA,Basic Industries
NXE,Basic Industries
NL,Basic Industries
OSB,Basic Industries
NAK,Basic Industries
NWPX,Basic Industries
NG,Basic Industries
NUE,Basic Industries
NTR,Basic Industries
OCIP,Basic Industries
OLN,Basic Industries
ZEUS,Basic Industries
OMN,Basic Industries
OPNT,Basic Industries
OCC,Basic Industries
TIS,Basic Industries
OEC,Basic Industries
ORN,Basic Industries
OR,Basic Industries
OSN,Basic Industries
PEIX,Basic Industries
PAAS,Basic Industries
PZG,Basic Industries
PATK,Basic Industries
PESI,Basic Industries
PGLC,Basic Industries
PAH,Basic Industries
PLG,Basic Industries
PLM,Basic Industries
POL,Basic Industries
PKX,Basic Industries
PPG,Basic Industries
PQG,Basic Industries
PX,Basic Industries
PLPC,Basic Industries
PVG,Basic Industries
PRIM,Basic Industries
PG,Basic Industries
KWR,Basic Industries
GOLD,Basic Industries
RYAM,Basic Industries
RGSE,Basic Industries
RS,Basic Industries
REGI,Basic Industries
RFP,Basic Industries
REX,Basic Industries
RIO,Basic Industries
ROG,Basic Industries
RGLD,Basic Industries
RPM,Basic Industries
RYI,Basic Industries
SAND          ,Basic Industries
SWM,Basic Industries
SMG,Basic Industries
SA,Basic Industries
SEE,Basic Industries
SNES,Basic Industries
SXT,Basic Industries
SMED,Basic Industries
SBGL,Basic Industries
SMTS,Basic Industries
SVM,Basic Industries
SHI,Basic Industries
SKY,Basic Industries
SND,Basic Industries
SQM,Basic Industries
XPL,Basic Industries
SCCO,Basic Industries
SSRM,Basic Industries
STLD,Basic Industries
SCL,Basic Industries
SRCL,Basic Industries
SRCLP,Basic Industries
STRL,Basic Industries
SUM,Basic Industries
SXCP,Basic Industries
SXC,Basic Industries
SYNL,Basic Industries
SES,Basic Industries
TAHO,Basic Industries
TANH,Basic Industries
TRX,Basic Industries
TGB,Basic Industries
TECK,Basic Industries
TS,Basic Industries
TX,Basic Industries
AES,Basic Industries
TMST,Basic Industries
TWI,Basic Industries
BLD,Basic Industries
TREX,Basic Industries
TMQ,Basic Industries
TSE,Basic Industries
TROX,Basic Industries
TRQ,Basic Industries
TPC,Basic Industries
SLCA,Basic Industries
UN,Basic Industries
UL,Basic Industries
USLM,Basic Industries
X,Basic Industries
UFPI,Basic Industries
USAP,Basic Industries
URG,Basic Industries
UEC,Basic Industries
VALE,Basic Industries
VHI,Basic Industries
VVV,Basic Industries
VNTR,Basic Industries
VRS,Basic Industries
VSM,Basic Industries
VERU,Basic Industries
VGZ,Basic Industries
VMC,Basic Industries
GRA,Basic Industries
WDFC,Basic Industries
WST,Basic Industries
WRN,Basic Industries
WLK,Basic Industries
WLKP,Basic Industries
WWR,Basic Industries
WPM,Basic Industries
XRM,Basic Industries
XIN,Basic Industries
AUY,Basic Industries
YTEN,Basic Industries
AVHI,Capital Goods
AAON,Capital Goods
AIR,Capital Goods
ABAX,Capital Goods
AXDX,Capital Goods
ACU,Capital Goods
ADNT,Capital Goods
ADOM,Capital Goods
WMS,Capital Goods
AEIS,Capital Goods
AEHR,Capital Goods
AJRD,Capital Goods
AVAV,Capital Goods
AEMD,Capital Goods
AGCO,Capital Goods
A,Capital Goods
AIRI,Capital Goods
ALG,Capital Goods
AMOT,Capital Goods
ALSN,Capital Goods
AIMC,Capital Goods
AXL,Capital Goods
AOBC,Capital Goods
ARII,Capital Goods
AP,Capital Goods
APH,Capital Goods
ALOG,Capital Goods
APOG,Capital Goods
APTV,Capital Goods
ARCW,Capital Goods
ARNC,Capital Goods
ARTW,Capital Goods
ASTE,Capital Goods
ATRO,Capital Goods
ASTC,Capital Goods
ASV,Capital Goods
ALV,Capital Goods
AVX,Capital Goods
AAXN,Capital Goods
BW,Capital Goods
BMI,Capital Goods
B,Capital Goods
BZH,Capital Goods
BELFA,Capital Goods
BELFB,Capital Goods
BIO,Capital Goods
BLBD,Capital Goods
BXC,Capital Goods
BA,Capital Goods
BNSO,Capital Goods
BWA,Capital Goods
BWEN,Capital Goods
BRKR,Capital Goods
CSTE,Capital Goods
CAMT,Capital Goods
CRR,Capital Goods
CAT,Capital Goods
CDTI,Capital Goods
CECE,Capital Goods
CPAC,Capital Goods
CX,Capital Goods
CETX,Capital Goods
CETXP,Capital Goods
CETXW,Capital Goods
CCS,Capital Goods
KOOL,Capital Goods
GTLS,Capital Goods
CAAS,Capital Goods
CCCL,Capital Goods
CXDC,Capital Goods
ZX,Capital Goods
CIR,Capital Goods
CLIR,Capital Goods
CLIRW,Capital Goods
CNHI,Capital Goods
CODA,Capital Goods
CGNX,Capital Goods
COHR,Capital Goods
COHU,Capital Goods
CFX,Capital Goods
CMCO,Capital Goods
FIX,Capital Goods
CVGI,Capital Goods
CIX,Capital Goods
CHCI,Capital Goods
CBPX,Capital Goods
CUO,Capital Goods
CTRL,Capital Goods
CPS,Capital Goods
CVU,Capital Goods
CPSH,Capital Goods
CR,Capital Goods
CRH,Capital Goods
CUB,Capital Goods
CYBE,Capital Goods
DHI,Capital Goods
DAN,Capital Goods
DHR,Capital Goods
DAIO,Capital Goods
DE,Capital Goods
DLPH,Capital Goods
BOOM,Capital Goods
DCI,Capital Goods
DORM,Capital Goods
PLOW,Capital Goods
DPW,Capital Goods
DCO,Capital Goods
DXPE,Capital Goods
DYSL,Capital Goods
EXP,Capital Goods
EML,Capital Goods
EKSO,Capital Goods
ESLT,Capital Goods
ELSE,Capital Goods
ERJ,Capital Goods
EME,Capital Goods
WIRE,Capital Goods
ESP,Capital Goods
ESL,Capital Goods
EXFO,Capital Goods
EYPT,Capital Goods
FARO,Capital Goods
FSS,Capital Goods
RACE,Capital Goods
GSM,Capital Goods
FCAU,Capital Goods
FLIR,Capital Goods
FLS,Capital Goods
FLDM,Capital Goods
F,Capital Goods
FRTA,Capital Goods
FTV,Capital Goods
RAIL,Capital Goods
FEIM,Capital Goods
FRD,Capital Goods
FTEK,Capital Goods
FFHL,Capital Goods
GRMN,Capital Goods
GENC,Capital Goods
GD,Capital Goods
GM,Capital Goods
GNTX,Capital Goods
THRM,Capital Goods
GPC,Capital Goods
GEOS,Capital Goods
GGB,Capital Goods
ROCK,Capital Goods
BRSS,Capital Goods
GRC,Capital Goods
GGG,Capital Goods
GRBK,Capital Goods
GBX,Capital Goods
GFF,Capital Goods
GIFI,Capital Goods
HDNG,Capital Goods
HRS,Capital Goods
HSC,Capital Goods
HBIO,Capital Goods
HAYN,Capital Goods
HCHC,Capital Goods
HEBT,Capital Goods
HEI,Capital Goods
HIHO,Capital Goods
HMC,Capital Goods
HON,Capital Goods
HZN,Capital Goods
HOV,Capital Goods
HOVNP,Capital Goods
HTGM,Capital Goods
HUBB,Capital Goods
HII,Capital Goods
HURC,Capital Goods
HY,Capital Goods
IEP,Capital Goods
IEX,Capital Goods
IESC,Capital Goods
IIVI,Capital Goods
ILMN,Capital Goods
ISNS,Capital Goods
PI,Capital Goods
IR,Capital Goods
IIIN,Capital Goods
IART,Capital Goods
INTT,Capital Goods
IIN,Capital Goods
ITRI,Capital Goods
ITT,Capital Goods
JHX,Capital Goods
KALU,Capital Goods
KNDI,Capital Goods
KZIA,Capital Goods
KBH,Capital Goods
KIQ,Capital Goods
KEM,Capital Goods
KMT,Capital Goods
KEQU,Capital Goods
KEYS,Capital Goods
KLAC,Capital Goods
KLXI,Capital Goods
KRNT,Capital Goods
KTOS,Capital Goods
SCX,Capital Goods
LCII,Capital Goods
LEA,Capital Goods
LII,Capital Goods
LPL,Capital Goods
LGIH,Capital Goods
LGL,Capital Goods
LBY,Capital Goods
LCUT,Capital Goods
LNN,Capital Goods
LMT,Capital Goods
LOMA,Capital Goods
LDL,Capital Goods
WLH,Capital Goods
MDC,Capital Goods
MHO,Capital Goods
MGA,Capital Goods
MBUU,Capital Goods
MTW,Capital Goods
MPX,Capital Goods
MTRN,Capital Goods
MATW,Capital Goods
MCFT,Capital Goods
MDR,Capital Goods
MRCY,Capital Goods
MTH,Capital Goods
MTOR,Capital Goods
MLAB,Capital Goods
MEI,Capital Goods
MTD,Capital Goods
MICT,Capital Goods
MVIS,Capital Goods
MLR,Capital Goods
MSON,Capital Goods
MKSI,Capital Goods
MINI,Capital Goods
MOD,Capital Goods
MPAA,Capital Goods
MRC,Capital Goods
MSM,Capital Goods
MTSC,Capital Goods
MLI,Capital Goods
MWA,Capital Goods
NANO,Capital Goods
NPK,Capital Goods
SID,Capital Goods
NAV,Capital Goods
NAV^D,Capital Goods
NCS,Capital Goods
NEON,Capital Goods
NWHM,Capital Goods
NFEC,Capital Goods
NNBR,Capital Goods
NDSN,Capital Goods
NSYS,Capital Goods
NTIC,Capital Goods
NOC,Capital Goods
NVMI,Capital Goods
NVR,Capital Goods
OFLX,Capital Goods
