"","Country.Name","Country.Code","gini","gdp","r.gdp","inf","pop","uem","tax","refuge","urban","lbf","mobile","hlt"
"8","Argentina","ARG",44.5,4.23627e+11,10.12539816,10.78011543,41223889,7.699999809,12.85304269,557,90.966,18248428,141.383022,738.480823
"9","Armenia","ARM",31.1,9260284938,2.199999999,8.181575544,2877311,19,17.0700514,17547,63.58,1380532,130.4322327,143.0644236
"12","Australia","AUS",34.7,1.14288e+12,2.005879701,2.845225682,22031750,5.199999809,20.59031621,37,88.733,11692512,100.4263074,5324.517415
"13","Austria","AUT",30.3,3.91893e+11,1.928673055,1.813535031,8363404,4.800000191,25.28163551,10,65.852,4276563,145.6928199,5049.56234
"16","Belgium","BEL",28.4,4.83548e+11,2.744213272,2.189218922,10895586,8.300000191,24.33392997,83,97.641,4887447,111.0841886,4419.444255
"19","Bangladesh","BGD",32.1,1.15279e+11,5.571802274,8.126676392,152149102,4.5,7.834684749,10049,30.462,58860648,44.94535882,23.13738001
"20","Bulgaria","BGR",35.7,50610031136,1.324026821,2.438990605,7395599,10.30000019,18.45091416,2559,72.302,3426005,138.0389827,488.2120682
"24","Belarus","BLR",28.6,57222490769,7.793697905,7.735748043,9490583,0.699999988,16.32143837,5743,74.615,5091985,108.8697059,322.542461
"34","Canada","CAN",33.6,1.61346e+12,3.08351422,1.776871541,34005274,8.100000381,11.76044487,90,80.937,18913406,75.676078,5347.69457
"36","Switzerland","CHE",32.5,5.83783e+11,3.002699108,0.698510114,7824909,4.5,9.719225458,19,73.663,4449996,123.1609109,7807.623133
"44","Colombia","COL",55.5,2.87018e+11,3.971800705,2.278220158,45918097,11.80000019,12.12291329,395577,75.036,23318063,95.76455258,422.3895159
"47","Costa Rica","CRI",48.1,37268635287,4.951863844,5.660230651,4545280,8.899999619,13.08808511,352,71.734,2074907,66.9932126,771.2409741
"52","Cyprus","CYP",31.5,25562251656,1.317777804,2.381258363,1112607,6.300000191,23.24723438,13,67.551,585471,124.9330675,2038.202786
"53","Czech Republic","CZE",26.6,2.07478e+11,2.273420052,1.408717924,10474410,7.300000191,12.88897514,817,73.255,5241327,122.5551112,1410.036589
"54","Germany","DEU",30.7,3.41709e+12,4.079933305,1.103808561,81776930,7,11.115788,164,74.291,42016390,106.4836959,4700.085841
"57","Denmark","DNK",27.3,3.21995e+11,1.870992639,2.297730121,5547683,7.5,32.73722946,9,86.795,2929891,115.669923,6266.80801
"58","Dominican Republic","DOM",47.2,53954579004,8.317067728,6.329932201,9897985,12.39999962,12.21380574,246,73.752,4333595,88.7787084,217.7064442
"66","Egypt, Arab Rep.","EGY",31.5,2.18888e+11,5.14510637,11.26518827,84107606,9,14.13007625,6913,43.019,28163153,90.50319174,125.5023976
"69","Spain","ESP",35.3,1.43162e+12,0.014063878,1.79988133,46576897,19.89999962,12.97423064,42,78.442,23577450,111.275767,2846.710039
"70","Estonia","EST",32,19490936349,2.259075894,2.975580329,1331475,16.70000076,1.269097089,240,68.094,683973,127.2827876,902.6732824
"71","Ethiopia","ETH",33.2,29933790334,12.55053834,8.136941131,87702670,5.199999809,8.16344108,68848,17.319,40797815,7.869542323,20.98433993
"74","Finland","FIN",27.7,2.478e+11,2.992337502,1.210357625,5363352,8.399999619,18.7049706,6,83.558,2679172,156.3055115,4001.325692
"76","France","FRA",33.7,2.64684e+12,1.965657375,1.529639382,65027512,9.300000191,21.91689588,92,78.345,29861080,91.38732973,4583.688607
"80","United Kingdom","GBR",34.4,2.44117e+12,1.69454714,3.285714286,62766365,7.800000191,25.33311138,153,81.302,32010605,123.6254863,3491.219797
"81","Georgia","GEO",42.1,11638536834,6.24941822,7.110178975,3926000,16.29999924,22.13912823,10640,52.869,2087197,90.64792691,274.8616084
"88","Greece","GRC",34.1,2.99362e+11,-5.479037108,4.712981576,11121341,12.69999981,20.21400144,51,76.292,5148100,110.6455185,2458.728117
"96","Honduras","HND",53.4,15839344592,3.731140344,4.700549929,8194778,4.800000191,14.4250984,1302,51.696,3341150,124.7187583,178.3860537
"98","Croatia","HRV",32.4,59665427465,-1.701249763,1.030555053,4417781,11.60000038,19.16122489,65861,57.537,1967856,113.6081449,1143.851235
"100","Hungary","HUN",29.4,1.30923e+11,0.682378151,4.881345076,10000023,11.19999981,22.84823001,1438,68.859,4299650,119.9427178,1019.851688
"110","Ireland","IRL",32.3,2.21951e+11,1.801657148,-0.946166395,4560155,13.89999962,21.81542614,8,61.84,2211369,105.2358099,4238.21622
"113","Iceland","ISL",26.2,13254818331,-3.559864876,5.393595958,318041,7.599999905,20.74209357,4,93.624,188674,107.2427541,3690.423347
"114","Israel","ISR",42.5,2.3361e+11,5.223903929,2.69295911,7623600,8.5,22.53328499,1301,91.824,3494717,122.7836679,2247.646031
"115","Italy","ITA",34.3,2.12506e+12,1.686523403,1.539893392,59277417,8.399999619,22.26324536,50,68.327,24451239,154.7970088,3384.453597
"117","Jordan","JOR",33.7,26425379437,2.311392474,5.013941643,7182390,12.5,15.97855719,2254,82.473,1894082,102.5632445,341.2732498
"119","Kazakhstan","KAZ",28.6,1.48047e+11,7.3,7.115813597,16321581,5.800000191,15.71238046,3632,53.732,8719602,121.867001,401.207775
"125","Korea, Rep.","KOR",32,1.0945e+12,6.496793586,2.939181359,49554112,3.700000048,14.04546126,585,81.936,25262328,104.7742463,1505.021448
"140","Lesotho","LSO",54.2,2385950664,6.072038616,3.597811021,2040551,28,37.17342916,11,24.753,865982,49.15315236,118.2634512
"142","Lithuania","LTU",33.6,37120517694,1.639819649,1.319184445,3097282,17.79999924,4.624790232,515,66.757,1503798,159.3953899,828.6518049
"144","Latvia","LVA",35,23757368290,-3.940670306,-1.070663812,2097555,19.5,19.02883553,713,67.692,1062906,110.3123196,739.3775279
"149","Moldova","MDA",32,5811604052,7.100000092,7.352251206,3562045,7.400000095,18.1954702,6200,44.886,1249006,71.38468703,196.8305588
"150","Madagascar","MDG",42.4,8729936136,0.263110856,9.246717346,21151640,3.799999952,9.7600291,270,31.929,10638120,36.5839289,20.14535569
"153","Mexico","MEX",48.1,1.05113e+12,5.11019849,4.156727837,117318941,5.300000191,10.17509862,6816,77.825,50543143,77.51826326,591.7125065
"156","Macedonia, FYR","MKD",42.8,9407168702,3.358760114,1.50997522,2070739,32,16.8656928,7889,56.992,945652,102.4359533,312.2201208
"162","Mongolia","MNG",33.1,7189481824,6.365161685,10.14963142,2712650,6.5,19.59311925,1724,67.567,1169397,92.54376943,124.4851349
"167","Malawi","MWI",46.1,6959697194,6.874065635,7.411590929,15167095,6.5,15.3729139,171,15.54,6308673,20.763471,36.71748149
"175","Netherlands","NLD",27.9,8.3639e+11,1.402662177,1.275552568,16615394,4.400000095,21.34527927,53,87.061,8865486,115.4301505,5286.465552
"176","Norway","NOR",25.7,4.29131e+11,0.691663072,2.399257688,4889252,3.5,26.8212029,7,79.102,2607932,114.4755401,8164.474016
"177","Nepal","NPL",32.8,16002656434,4.81641465,9.324000504,27023137,2.5,13.39611544,5889,16.822,14152896,34.25298562,38.95948969
"183","Pakistan","PAK",29.8,1.77407e+11,1.606691959,13.88113926,170560182,5.599999905,9.97542476,39982,36.598,56124889,57.28341989,30.95275635
"185","Peru","PER",46.2,1.47529e+11,8.332459107,1.528320597,29373646,4,15.46657176,5834,76.915,16407881,99.49532906,254.4777006
"189","Poland","POL",33.2,4.79258e+11,3.606928261,2.707452359,38042794,9.600000381,16.54994333,1764,60.892,18035819,122.9152946,867.7452921
"193","Portugal","PRT",35.8,2.38303e+11,1.898691176,1.402572899,10573100,10.80000019,19.69832159,30,60.567,5489330,115.3032751,2352.31986
"194","Paraguay","PRY",51.8,20030528043,13.09300368,4.651162791,6209877,5.699999809,12.06319603,86,58.487,2882827,91.65810722,293.8327554
"200","Romania","ROU",28.2,1.67998e+11,-0.798465536,6.094215787,20246871,7,16.46748686,3934,53.829,9372919,111.4288898,482.9457049
"201","Russian Federation","RUS",39.5,1.52492e+12,4.503725626,6.852353956,142849449,7.300000191,13.04836045,111948,73.687,76595335,165.5010987,727.3728625
"210","El Salvador","SLV",44.5,21418330000,1.365346664,0.907806937,6164626,7,13.61917572,4976,64.286,2584950,123.8355503,245.1904657
"213","Serbia","SRB",29.6,39460357731,0.584478088,6.142553602,7291436,19.20000076,21.43866019,183289,55.208,3067886,125.300784,541.0249331
"218","Sao Tome and Principe","STP",30.8,197454053.1,6.67198532,13.34005235,174776,14.30000019,17.71198407,33,61.907,56156,57.63965258,66.49702819
"220","Slovak Republic","SVK",27.3,89501012916,5.041716665,0.957018133,5391428,14.39999962,14.99047283,158,54.685,2683388,109.04722,1377.726433
"221","Slovenia","SVN",24.9,48013606745,1.237755909,1.840965347,2048583,7.199999809,18.11282925,38,50.04,1042939,103.2965118,2083.059184
"222","Sweden","SWE",26.5,4.88378e+11,5.988926547,1.157988027,9378126,8.600000381,27.11069962,25,85.056,4941183,117.1611493,4694.463411
"232","Thailand","THA",39.4,3.41105e+11,7.513590658,3.247588424,67208808,1,14.93263926,356,44.08,39303565,108.0177685,182.143346
"242","Tunisia","TUN",35.8,44050929160,3.510608639,4.416268965,10639931,13,20.13908603,2174,65.934,3806333,104.5370929,270.9352425
"243","Turkey","TUR",38.8,7.71877e+11,8.487372187,8.566444206,72326914,10.69999981,19.40536961,146794,70.715,25218320,85.62758012,565.8716155
"247","Ukraine","UKR",24.8,1.36013e+11,4.200000018,9.378589479,45870700,8.100000381,15.57052141,25111,68.686,21659551,117.1087348,233.451757
"249","Uruguay","URY",45.3,40284481662,7.803409668,6.676386868,3374415,6.800000191,18.88638874,186,94.414,1712458,131.589018,1030.062322
"250","United States","USA",40.4,1.49644e+13,2.531920616,1.640043442,309348193,9.600000381,8.610805719,3026,80.772,157021140,91.31165202,8269.365181
"256","Vietnam","VNM",39.3,1.15932e+11,6.423238217,8.861600361,86932500,2.599999905,22.32388309,338698,30.392,51035531,125.2930515,83.45891629
"257","Vanuatu","VUT",37.3,700804286.2,1.629081596,2.809293259,236295,5.400000095,15.4991754,1,24.589,102742,71.91524298,139.7194287
"263","Zambia","ZMB",55.6,20265556274,10.29820585,8.501761334,13850033,10.80000019,13.24762392,228,38.725,5641054,41.21205404,64.17510388
